variable,gas,sector,unit,global
CEDS+|9+ Sectors|Emissions|BC|Agricultural Waste Burning|Unharmonized,BC,Agricultural Waste Burning,Mt BC/yr,False
CEDS+|9+ Sectors|Emissions|BC|Agriculture|Unharmonized,BC,Agriculture,Mt BC/yr,False
CEDS+|9+ Sectors|Emissions|BC|Aircraft|Unharmonized,BC,Aircraft,Mt BC/yr,True
CEDS+|9+ Sectors|Emissions|BC|Energy Sector|Unharmonized,BC,Energy Sector,Mt BC/yr,False
CEDS+|9+ Sectors|Emissions|BC|Forest Burning|Unharmonized,BC,Forest Burning,Mt BC/yr,False
CEDS+|9+ Sectors|Emissions|BC|Grassland Burning|Unharmonized,BC,Grassland Burning,Mt BC/yr,False
CEDS+|9+ Sectors|Emissions|BC|Industrial Sector|Unharmonized,BC,Industrial Sector,Mt BC/yr,False
CEDS+|9+ Sectors|Emissions|BC|International Shipping|Unharmonized,BC,International Shipping,Mt BC/yr,True
CEDS+|9+ Sectors|Emissions|BC|Peat Burning|Unharmonized,BC,Peat Burning,Mt BC/yr,False
CEDS+|9+ Sectors|Emissions|BC|Residential Commercial Other|Unharmonized,BC,Residential Commercial Other,Mt BC/yr,False
CEDS+|9+ Sectors|Emissions|BC|Solvents Production and Application|Unharmonized,BC,Solvents Production and Application,Mt BC/yr,False
CEDS+|9+ Sectors|Emissions|BC|Transportation Sector|Unharmonized,BC,Transportation Sector,Mt BC/yr,False
CEDS+|9+ Sectors|Emissions|BC|Waste|Unharmonized,BC,Waste,Mt BC/yr,False
CEDS+|9+ Sectors|Emissions|CH4|Agricultural Waste Burning|Unharmonized,CH4,Agricultural Waste Burning,Mt CH4/yr,False
CEDS+|9+ Sectors|Emissions|CH4|Agriculture|Unharmonized,CH4,Agriculture,Mt CH4/yr,False
CEDS+|9+ Sectors|Emissions|CH4|Aircraft|Unharmonized,CH4,Aircraft,Mt CH4/yr,True
CEDS+|9+ Sectors|Emissions|CH4|Energy Sector|Unharmonized,CH4,Energy Sector,Mt CH4/yr,False
CEDS+|9+ Sectors|Emissions|CH4|Forest Burning|Unharmonized,CH4,Forest Burning,Mt CH4/yr,False
CEDS+|9+ Sectors|Emissions|CH4|Grassland Burning|Unharmonized,CH4,Grassland Burning,Mt CH4/yr,False
CEDS+|9+ Sectors|Emissions|CH4|Industrial Sector|Unharmonized,CH4,Industrial Sector,Mt CH4/yr,False
CEDS+|9+ Sectors|Emissions|CH4|International Shipping|Unharmonized,CH4,International Shipping,Mt CH4/yr,True
CEDS+|9+ Sectors|Emissions|CH4|Peat Burning|Unharmonized,CH4,Peat Burning,Mt CH4/yr,False
CEDS+|9+ Sectors|Emissions|CH4|Residential Commercial Other|Unharmonized,CH4,Residential Commercial Other,Mt CH4/yr,False
CEDS+|9+ Sectors|Emissions|CH4|Solvents Production and Application|Unharmonized,CH4,Solvents Production and Application,Mt CH4/yr,False
CEDS+|9+ Sectors|Emissions|CH4|Transportation Sector|Unharmonized,CH4,Transportation Sector,Mt CH4/yr,False
CEDS+|9+ Sectors|Emissions|CH4|Waste|Unharmonized,CH4,Waste,Mt CH4/yr,False
CEDS+|9+ Sectors|Emissions|CO2|Aggregate - Agriculture and LUC|Unharmonized,CO2,Aggregate - Agriculture and LUC,Mt CO2/yr,True
CEDS+|9+ Sectors|Emissions|CO2|Aircraft|Unharmonized,CO2,Aircraft,Mt CO2/yr,True
CEDS+|9+ Sectors|Emissions|CO2|Energy Sector|Unharmonized,CO2,Energy Sector,Mt CO2/yr,False
CEDS+|9+ Sectors|Emissions|CO2|Industrial Sector|Unharmonized,CO2,Industrial Sector,Mt CO2/yr,False
CEDS+|9+ Sectors|Emissions|CO2|International Shipping|Unharmonized,CO2,International Shipping,Mt CO2/yr,True
CEDS+|9+ Sectors|Emissions|CO2|Residential Commercial Other|Unharmonized,CO2,Residential Commercial Other,Mt CO2/yr,False
CEDS+|9+ Sectors|Emissions|CO2|Solvents Production and Application|Unharmonized,CO2,Solvents Production and Application,Mt CO2/yr,False
CEDS+|9+ Sectors|Emissions|CO2|Transportation Sector|Unharmonized,CO2,Transportation Sector,Mt CO2/yr,False
CEDS+|9+ Sectors|Emissions|CO2|Waste|Unharmonized,CO2,Waste,Mt CO2/yr,False
CEDS+|9+ Sectors|Emissions|CO|Agricultural Waste Burning|Unharmonized,CO,Agricultural Waste Burning,Mt CO/yr,False
CEDS+|9+ Sectors|Emissions|CO|Agriculture|Unharmonized,CO,Agriculture,Mt CO/yr,False
CEDS+|9+ Sectors|Emissions|CO|Aircraft|Unharmonized,CO,Aircraft,Mt CO/yr,True
CEDS+|9+ Sectors|Emissions|CO|Energy Sector|Unharmonized,CO,Energy Sector,Mt CO/yr,False
CEDS+|9+ Sectors|Emissions|CO|Forest Burning|Unharmonized,CO,Forest Burning,Mt CO/yr,False
CEDS+|9+ Sectors|Emissions|CO|Grassland Burning|Unharmonized,CO,Grassland Burning,Mt CO/yr,False
CEDS+|9+ Sectors|Emissions|CO|Industrial Sector|Unharmonized,CO,Industrial Sector,Mt CO/yr,False
CEDS+|9+ Sectors|Emissions|CO|International Shipping|Unharmonized,CO,International Shipping,Mt CO/yr,True
CEDS+|9+ Sectors|Emissions|CO|Peat Burning|Unharmonized,CO,Peat Burning,Mt CO/yr,False
CEDS+|9+ Sectors|Emissions|CO|Residential Commercial Other|Unharmonized,CO,Residential Commercial Other,Mt CO/yr,False
CEDS+|9+ Sectors|Emissions|CO|Solvents Production and Application|Unharmonized,CO,Solvents Production and Application,Mt CO/yr,False
