gas,sector,unit,include_in_total,griddinglevel,proxy_path,output_variable,proxy_sector
BC,Agricultural Waste Burning,Mt BC/yr,TRUE,country,openburning_BC_AGRI_2014_2023.nc,BC_em_openburning,AWB
BC,Agriculture,Mt BC/yr,TRUE,country,anthro_BC.nc,BC_em_anthro,AGR
BC,Aircraft,Mt BC/yr,TRUE,global,aircraft_BC.nc,BC_em_AIR_anthro,AIR
BC,Energy Sector,Mt BC/yr,TRUE,country,anthro_BC.nc,BC_em_anthro,ENE
BC,Forest Burning,Mt BC/yr,TRUE,country,openburning_BC_FRTB_2014_2023.nc,BC_em_openburning,FRTB
BC,Grassland Burning,Mt BC/yr,TRUE,country,openburning_BC_SAVA_2014_2023.nc,BC_em_openburning,GRSB
BC,Industrial Sector,Mt BC/yr,TRUE,country,anthro_BC.nc,BC_em_anthro,IND
BC,International Shipping,Mt BC/yr,TRUE,global,shipping_BC.nc,BC_em_anthro,SHP
BC,Peat Burning,Mt BC/yr,TRUE,country,openburning_BC_PEAT_2014_2023.nc,BC_em_openburning,PEAT
BC,Residential Commercial Other,Mt BC/yr,TRUE,country,anthro_BC.nc,BC_em_anthro,RCO
BC,Solvents Production and Application,Mt BC/yr,TRUE,country,anthro_BC.nc,BC_em_anthro,SLV
BC,Transportation Sector,Mt BC/yr,TRUE,country,anthro_BC.nc,BC_em_anthro,TRA
BC,Waste,Mt BC/yr,TRUE,country,anthro_BC.nc,BC_em_anthro,WST
CH4,Agricultural Waste Burning,Mt CH4/yr,TRUE,country,openburning_CH4_AGRI_2014_2023.nc,CH4_em_openburning,AWB
CH4,Agriculture,Mt CH4/yr,TRUE,country,anthro_CH4.nc,CH4_em_anthro,AGR
CH4,Aircraft,Mt CH4/yr,TRUE,global,aircraft_CH4.nc,CH4_em_AIR_anthro,AIR
CH4,Energy Sector,Mt CH4/yr,TRUE,country,anthro_CH4.nc,CH4_em_anthro,ENE
CH4,Forest Burning,Mt CH4/yr,TRUE,country,openburning_CH4_FRTB_2014_2023.nc,CH4_em_openburning,FRTB
CH4,Grassland Burning,Mt CH4/yr,TRUE,country,openburning_CH4_SAVA_2014_2023.nc,CH4_em_openburning,GRSB
CH4,Industrial Sector,Mt CH4/yr,TRUE,country,anthro_CH4.nc,CH4_em_anthro,IND
CH4,International Shipping,Mt CH4/yr,TRUE,global,shipping_CH4.nc,CH4_em_anthro,SHP
CH4,Peat Burning,Mt CH4/yr,TRUE,country,openburning_CH4_PEAT_2014_2023.nc,CH4_em_openburning,PEAT
