gas,sector,unit,include_in_total,griddinglevel,proxy_path,output_variable,proxy_sector
BC,Agricultural Waste Burning,Mt BC/yr,TRUE,country,openburning_BC.nc,BC_em_openburning,AWB
BC,Agriculture,Mt BC/yr,TRUE,country,anthro_BC.nc,BC_em_anthro,AGR
BC,Aircraft,Mt BC/yr,TRUE,global,aircraft_BC.nc,BC_em_AIR_anthro,AIR
BC,Energy Sector|Modelled,Mt BC/yr,TRUE,country,anthro_BC.nc,BC_em_anthro,ENE
BC,Energy Sector|Non-Modelled,Mt BC/yr,TRUE,country,anthro_BC.nc,BC_em_anthro,ENE
BC,Forest Burning,Mt BC/yr,TRUE,country,openburning_BC.nc,BC_em_openburning,FRTB
BC,Grassland Burning,Mt BC/yr,TRUE,country,openburning_BC.nc,BC_em_openburning,GRSB
BC,Industrial Sector,Mt BC/yr,TRUE,country,anthro_BC.nc,BC_em_anthro,IND
BC,International Shipping,Mt BC/yr,TRUE,global,shipping_BC.nc,BC_em_anthro,SHP
BC,Peat Burning,Mt BC/yr,TRUE,country,openburning_BC.nc,BC_em_openburning,PEAT
BC,Residential Commercial Other,Mt BC/yr,TRUE,country,anthro_BC.nc,BC_em_anthro,RCO
BC,Solvents Production and Application,Mt BC/yr,TRUE,country,anthro_BC.nc,BC_em_anthro,SLV
BC,Transportation Sector,Mt BC/yr,TRUE,country,anthro_BC.nc,BC_em_anthro,TRA
BC,Waste,Mt BC/yr,TRUE,country,anthro_BC.nc,BC_em_anthro,WST
CH4,Agricultural Waste Burning,Mt CH4/yr,TRUE,country,openburning_CH4.nc,CH4_em_openburning,AWB
CH4,Agriculture,Mt CH4/yr,TRUE,country,anthro_CH4.nc,CH4_em_anthro,AGR
CH4,Aircraft,Mt CH4/yr,TRUE,global,aircraft_CH4.nc,CH4_em_AIR_anthro,AIR
CH4,Energy Sector|Modelled,Mt CH4/yr,TRUE,country,anthro_CH4.nc,CH4_em_anthro,ENE
CH4,Energy Sector|Non-Modelled,Mt CH4/yr,TRUE,country,anthro_CH4.nc,CH4_em_anthro,ENE
CH4,Forest Burning,Mt CH4/yr,TRUE,country,openburning_CH4.nc,CH4_em_openburning,FRTB
CH4,Grassland Burning,Mt CH4/yr,TRUE,country,openburning_CH4.nc,CH4_em_openburning,GRSB
CH4,Industrial Sector,Mt CH4/yr,TRUE,country,anthro_CH4.nc,CH4_em_anthro,IND
CH4,International Shipping,Mt CH4/yr,TRUE,global,shipping_CH4.nc,CH4_em_anthro,SHP
CH4,Peat Burning,Mt CH4/yr,TRUE,country,openburning_CH4.nc,CH4_em_openburning,PEAT
CH4,Residential Commercial Other,Mt CH4/yr,TRUE,country,anthro_CH4.nc,CH4_em_anthro,RCO
CH4,Solvents Production and Application,Mt CH4/yr,TRUE,country,anthro_CH4.nc,CH4_em_anthro,SLV
CH4,Transportation Sector,Mt CH4/yr,TRUE,country,anthro_CH4.nc,CH4_em_anthro,TRA
CH4,Waste,Mt CH4/yr,TRUE,country,anthro_CH4.nc,CH4_em_anthro,WST
CO2,Deforestation and other LUC,Mt CO2/yr,TRUE,global,CDR_CO2.nc,CO2_em_anthro,NONURB
CO2,Agriculture,Mt CO2/yr,FALSE,global,anthro_CO2.nc,CO2_em_anthro,AGR
CO2,Aircraft,Mt CO2/yr,TRUE,global,aircraft_CO2.nc,CO2_em_AIR_anthro,AIR
CO2,Energy Sector|Modelled,Mt CO2/yr,TRUE,country,anthro_CO2.nc,CO2_em_anthro,ENE
CO2,Energy Sector|Non-Modelled,Mt CO2/yr,TRUE,country,anthro_CO2.nc,CO2_em_anthro,ENE
CO2,Industrial Sector,Mt CO2/yr,TRUE,country,anthro_CO2.nc,CO2_em_anthro,IND
CO2,International Shipping,Mt CO2/yr,TRUE,global,shipping_CO2.nc,CO2_em_anthro,SHP
CO2,Residential Commercial Other,Mt CO2/yr,TRUE,country,anthro_CO2.nc,CO2_em_anthro,RCO
CO2,Solvents Production and Application,Mt CO2/yr,TRUE,country,anthro_CO2.nc,CO2_em_anthro,SLV
CO2,Transportation Sector,Mt CO2/yr,TRUE,country,anthro_CO2.nc,CO2_em_anthro,TRA
CO2,Waste,Mt CO2/yr,TRUE,country,anthro_CO2.nc,CO2_em_anthro,WST
